Categoria;Denominazione;Indirizzo;Città;Localita;Indirizzo internet;Indirizzo di posta elettronica
BED & BREAKFAST;B&B CASA LINA;via Monnea 9;OSTRA;OSTRA;www.casalina.ea29.com;casa-lina@libero.it
BED & BREAKFAST;B&B CASAMORI;via Gramsci 52;OSTRA;;;roberto.amori@tin.it
BED & BREAKFAST;B&B LE 2 FARFALLE;via Montemarciano 45;OSTRA;;;rosella.marinelli@alice.it
ALTRI ALLOGGI PRIVATI;CASA dei CARLI;via Matteotti 1;OSTRA;;;cristina.carbini@gmail.com
ALLOGGI IN AFFITTO;LOCANDA AL CIRCOLO IPPICO;via Jesi 19;OSTRA;OSTRA;;locandacircoloippicosas@legalmail.it
BED & BREAKFAST;B&B DRUPAROSA;via Vaccarilese 17;OSTRA;frazione Vaccarile;www.druparosa.it;druparosa@gmail.com
BED & BREAKFAST;B&B IL CASALE DEL SOLE;via Jesi 21;OSTRA;;;ilcasaledelsole@virgilio.it
BED & BREAKFAST;IL PETTIROSSO;Via San Bonaventura 12;OSTRA;San Bonaventura;www.pettirosso.eu;galemar24@gmail.com
BED & BREAKFAST;B&B OSTRA CHE BELLO;via Ringhiera 10;OSTRA;;www.ostrachebello.com;info@ostrachebello.com
BED & BREAKFAST;B&B IL LECCINO;via Santa Croce 26;OSTRA VETERE;;www.illeccino.it;"irenepancotti@libero.it;"
BED & BREAKFAST;CASA D'AMBRA BED & BREAKFAST;contrada Pescara 10;OSTRA VETERE;;;giancarlo@casadambra.org
ALTRI ALLOGGI PRIVATI;FALLERONI TONINO;contrada Pioli 6;OSTRA VETERE;;;info@osteriaispiazzi.com
TURISMO RURALE;DOMUS MARIAE;contrada nevola 2;OSTRA VETERE;OSTRA VETERE;www.domusmariae.info;info@domusmariae.info
ALLOGGI AGRITURISTICI;AGRITURISMO FATTORIA BRIGNONI;contrada brancasecca 25;OSTRA VETERE;OSTRA VETERE;www.fattoriabrignoni.com;info@fattoriabrignoni.com
BED & BREAKFAST;BED & BREAKFAST GAIA;via Gambacane 7;OSTRA VETERE;OSTRA VETERE;;catiarastelli@gmail.com
ALLOGGI IN AFFITTO;IL SENTIERO;contrada Cona 45;OSTRA VETERE;OSTRA VETERE;;info@il-sentiero.info
ALLOGGI AGRITURISTICI;LE MURACCE;contrada molino 7;OSTRA VETERE;OSTRA VETERE;www.agriturismolemurace.it;lemuracce@libero.it
BED & BREAKFAST;B&B AGLI ULIVI DI MASCIO;via Metola 5;OSTRA VETERE;;;luca.gregorini@virgilio.it
TURISMO RURALE;CASAVOSTRASUITES;CONTRADA SANTA ELISABETTA  5;OSTRA VETERE;CONTRADA SANTA ELISABETTA;;alessiocianseren@me.com
TURISMO RURALE;COSTA DEL MOLINO;coste del Molino 1/A;POGGIO SAN MARCELLO;;;sistemfe@tin.it
BED & BREAKFAST;B&B LA CASETTA DEL VECCHIO MOLINO;via Costa del Molino 18;POGGIO SAN MARCELLO;;www.casettadelvecchiomolino.com;gloria.squadroni@virgilio.it
BED & BREAKFAST;B&B TERRA MOSSA;via Santa Maria del Monte  8;POGGIO SAN MARCELLO;;www.bbterramossa.it;info@bbterramossa.it
BED & BREAKFAST;B&B TIMEOUT;via della Baviera 21;POLVERIGI;;www.bbpolverigi.it;info@bb-timeout.it
BED & BREAKFAST;B&B LIOLA';via Bagno 27;POLVERIGI;;www.liolabb.com;info@liolabb.com
BED & BREAKFAST;B&B CASALE LE RADICI;via San Vincenzo  7;POLVERIGI;;www.casaleleradici.com;info@casaleleradici.com
BED & BREAKFAST;BED & BREAKFAST IL DUCA;via Acquasalata 13;POLVERIGI;POLVERIGI;www.ilduca.eu;b.b.ilduca@gmail.com
ALLOGGI AGRITURISTICI;AGRITURISMO LA QUIETE;via mazzangrugno 24;POLVERIGI;POLVERIGI;www.agriturismolaquiete.net;info@agriturismolaquiete.net
ALBERGHI;HOTEL DURANTI;via San Giovanni 10;POLVERIGI;POLVERIGI;hotelduranti.it;duranti.daniela@alice.it
BED & BREAKFAST;B&B LA CASINA DI GINA;VIA MULINO DI SAN FILIPPO 11;POLVERIGI;RUSTICO;;bassotti2010@hotmail.com
ALLOGGI AGRITURISTICI;LACRIMARTE;Via Roncolina 12;POLVERIGI;RUSTICO;;"riccardomoroder@gmail.com; lacrimarte@gmail.com"
TURISMO RURALE;AL MASSIMO COUNTRY HOUSE;Contrada Santa Maria 23;ROSORA;ROSORA;;almassimo@email.it
TURISMO RURALE;IL CASALE DEL BACO;contrada Santa Maria 23;ROSORA;ROSORA;www.casaledelbaco.it;info@casaledelbaco.it
ALLOGGI AGRITURISTICI;CROCE DEL MORO;via contrada Tassanare 5;ROSORA;ROSORA;www.crocedelmoro.it;info@crocedelmoro.it
ALLOGGI AGRITURISTICI;LE COLLINE;via Fondiglie 68;ROSORA;ROSORA;www.agriturismolecolline.eu;info@agriturismolecolline.eu
ALLOGGI AGRITURISTICI;AZIENDA AGRITURISTICA LA SORGENTE;via Fondiglie 24;ROSORA;ROSORA;www.agriturismolecolline.eu;info@agriturismolecolline.eu
ALLOGGI AGRITURISTICI;PRATELLI SEI;contrada Pratelli 6;ROSORA;ROSORA;www.pratellisei.com;info@pratellisei.com
BED & BREAKFAST;B&B di GALEASSI FRANCO;via Giovan Battista Pergolesi 29;ROSORA;ROSORA;;franco.galeassi@gmail.com
TURISMO RURALE;VITTORIA IL GRADITEMPO;contrada Pratelli 57;ROSORA;ROSORA;www.vittoria-ilgraditempo.it;info@vittoria-ilgraditempo.it
AREE DI SOSTA (PLEIN AIR);AREA DI SOSTA CAMPER - ROSORA;;ROSORA;;;
BED & BREAKFAST;B&B CASA DI CAMPAGNA;via Santa Maria  1/a;ROSORA;;;roberta.morbidelli@libero.it
BED & BREAKFAST;B&B CASA DELLE NOCI;c.da Santa Maria 9;ROSORA;Rosora . c.da  Santa Maria;www.casadellenoci.it;casa.noci@gmail.com
BED & BREAKFAST;B&B ALL'OMBRA DEGLI ULIVI;via dell' Unione 17;SAN MARCELLO;;;ombraulivimarche@gmail.com
BED & BREAKFAST;B&B L'ANTICO;via Montelatiere 78;SAN MARCELLO;;;laura.f_1989@hotmail.it
ALLOGGI AGRITURISTICI;TENUTA SAN MARCELLO;via Melano 30;SAN MARCELLO;;www.tenutasanmarcello.net;info@tenutasanmarcello.net
ALLOGGI AGRITURISTICI;I CILIEGI DEL CHECCO;via Serra 71;SAN MARCELLO;SAN MARCELLO;www.iciliegidelchecco.com;iciliegidelchecco@virgilio.it
ALBERGHI;MOROBELLO;via Serra 27;SAN MARCELLO;SAN MARCELLO;www.morobello.it;info@morobello.it
ALTRI ALLOGGI PRIVATI;GOODAIR JULIE KAREN;Via Serra 60;SAN MARCELLO;SAN MARCELLO;;jkg.trecipressi@gmail.com
ALLOGGI AGRITURISTICI;FILODIVINO;Via Serra 46;SAN MARCELLO;SAN MARCELLO;www.filodivino.it;info@filodivino.it
BED & BREAKFAST;B&B IL VECCHIO NESPOLO;via Serra 106;SAN MARCELLO;;www.ilvecchionespolo.it;Info@ilvecchionespolo.it
ALLOGGI IN AFFITTO;ROOMS DI MATTEO AFFITTACAMERE;Via Castellaro 14;SAN PAOLO DI JESI;SAN PAOLO DI JESI;;
ALLOGGI IN AFFITTO;LA TERRAZZA;Via Roma 18;SANTA MARIA NUOVA;SANTA MARIA NUOVA;;vbuari@mail.ru
BED & BREAKFAST;MONTECCHIESI LUCIANO VIA GRAMSCI 12;Via Gramsci 12;SANTA MARIA NUOVA;SANTA MARIA NUOVA;;montecchiesiluciano@yahoo.it
BED & BREAKFAST;MONTECCHIESI LUCIANO VIA GRAMSCI 10/B;Via Gramsci 10/B;SANTA MARIA NUOVA;SANTA MARIA NUOVA;;montecchiesiluciano@yahoo.it
BED & BREAKFAST;IL GIARDINO DELLE ROSE;Via Scarpara Alta  1/A;SANTA MARIA NUOVA;SANTA MARIA NUOVA;www.giardinodellerose.eu;gnitrati@studionitrati.it
ALLOGGI AGRITURISTICI;I DUCHI PELLEGRINI;via scarpara alta 16/a;SANTA MARIA NUOVA;SANTA MARIA NUOVA;;iduchipellegrini@libero.it
ALBERGHI;COUNTRY HOTEL SASSOFERRATO;località Piano 114/g;SASSOFERRATO;loc. Piano Frassineta;www.countryhotelsassoferrato.191.it;info@countryhotelsassoferrato.191.it
ALBERGHI;APPENNINO;piazza gramsci 31;SASSOFERRATO;SASSOFERRATO;;
ALLOGGI AGRITURISTICI;COLMERU';localita' Colmeroni 6;SASSOFERRATO;SASSOFERRATO;;vecchi1958@alice.it
BED & BREAKFAST;B&B CAPPELLINI PALMIRO;frazione Cabernardi 31;SASSOFERRATO;SASSOFERRATO;;
OSTELLI PER LA GIOVENTU';OSTELLO IL VOLTO SANTO;frazione Coldellanoce 8;SASSOFERRATO;SASSOFERRATO;www.cadnet.marche.it/coldellanoce;
TURISMO RURALE;RAFFAELLO RESIDENCE;via G. Leopardi 34;SASSOFERRATO;;www.raffaelloresidence.it;info@raffaelloresidence.it
ALLOGGI IN AFFITTO;LILLIPUT;via La Pace 17;SASSOFERRATO;;;info@officinatonialdo.com
ALLOGGI AGRITURISTICI;AZIENDA AGRITURISTICA LE PERELLE;loc. Perelle 10;SASSOFERRATO;PERELLE;www.leperelle.com;leperelle@gmail.com
ALLOGGI IN AFFITTO;COLONIA MONTELAGO;frazione Montelago 69;SASSOFERRATO;;;
ALLOGGI AGRITURISTICI;IL GORGHETTO;localita' Molino di Castagna 8;SASSOFERRATO;SASSOFERRATO;www.ilgorghetto.it;info@ilgorghetto.it
ALLOGGI IN AFFITTO;CASA VACANZE IL TARTUFO di STROO BENJAMIN;loc. Bosco Rotondo 3;SASSOFERRATO;localita' Bosco;;casatartufo@gmail.com
ALBERGHI;ALBERGO DELLA STREGA;loc.Valdomo 9;SASSOFERRATO;LOCALITA' VALDOMO;www.albergodellastrega.it;info@albergodellastrega.it
ALLOGGI IN AFFITTO;COUNTRY RESIDENCE;localita' Piano 134/I;SASSOFERRATO;SASSOFERRATO;;
ALLOGGI IN AFFITTO;FEDERICO I;largo San Cristoforo 2;SASSOFERRATO;SASSOFERRATO;;info@countryhousefederico.it
BED & BREAKFAST;CRISTINA B&B;via Pergolesi 6;SASSOFERRATO;;www.bb-cristina.it;info@bb-cristina.it
TURISMO RURALE;VILLA DI MONTEROSSO;loc.Villa 1;SASSOFERRATO;loc.Villa;info@villadimonterosso.it;studio.mazen@libero.it
ALLOGGI AGRITURISTICI;ANTICO MURO;via Sentinate 3;SASSOFERRATO;Parco Archeologico di Sentinum;www.agriturismoanticomuro.it;agriturismoanticomuro@gmail.com
ALLOGGI AGRITURISTICI;MASS-HANS VALDIFIORI di CIPRIANI;Via Torre di Murazzano snc;SASSOFERRATO;TORRE DI MURAZZANO;;info@valdifiori.nl
ALLOGGI IN AFFITTO;PALAZZO BENTIVOGLIO;via Bentivoglio 14;SASSOFERRATO;;http://palazzobentivoglio.blogspot.it;palazzobentivoglio@gmail.com
ALTRI ALLOGGI PRIVATI;VICOLO SANTA CHIARA;vicolo Santa Chiara 1;SASSOFERRATO;;;info@vicolosantachiara.it
CAMPEGGI;CASA TARTUFO;loc. Bosco Rotondo 3/a;SASSOFERRATO;;www.vakantieinitalie.com;casatartufo@gmail.com
ALLOGGI AGRITURISTICI;AZIENDA AGRITURISTICA IL CASTELLARO;località Colle di Murazzano 8;SASSOFERRATO;località Colle di Murazzano;www.agriturismoilcastellaro.it;paris.castellaro@gmail.com
BED & BREAKFAST;B&B VOLTI DI PIETRA;località Monte 1;SASSOFERRATO;località Monte;http://www.voltidipietra.com;info@voltidipietra.com
ALLOGGI AGRITURISTICI;BIDUCCI AZIENDA AGRICOLA;Via Cerqueto 1;SASSOFERRATO;SASSOFERRATO;;biducci@libero.it
ALLOGGI IN AFFITTO;AFFITTACAMERE PETTINELLI;Via Merolli 10;SASSOFERRATO;SASSOFERRATO;;
TURISMO RURALE;IL SOGNO DI TINO;Via Croce  18;SASSOFERRATO;CABERNARDI;;sole.cav@virgilio.it
ALTRI ALLOGGI PRIVATI;IL TIGLIO;Via Sassetello 6;SASSOFERRATO;SASSETELLO;;iltiglio2015@gmail.com
ALLOGGI AGRITURISTICI;COLDEMAGNA;via Coldemagna 31;SASSOFERRATO;;;coldemagna@gmail.com
ALBERGHI;HOTEL NUOVO DIANA;lungomare Leonardo da Vinci 81;SENIGALLIA;SENIGALLIA;;hotelnuovodiana@adriatic-sea.com
ALLOGGI AGRITURISTICI;AGRITURISMO I CILIEGI;via del Casale 3;SENIGALLIA;Montignano;www.agriturismoiciliegi.it;tiziana-c@libero.it
TURISMO RURALE;L'ARCA DI SABRINA;strada del Cavallo  79;SENIGALLIA;Portone;;larcadisabrina@sicurezzapostale.it
ALBERGHI;HOTEL CRISTALLO;lungomare alighieri 2;SENIGALLIA;SENIGALLIA;;info@mastruccizoppini.it
BED & BREAKFAST;B&B LA RANA;via Camposanto Vecchio 53;SENIGALLIA;;;marcosignoriluigi@alice.it
ALBERGHI;HOTEL RISTORANTE PIZZERIA CHIAR DI LUNA;via A.Panzini 19;SENIGALLIA;;http://ginnoxp.wix.com/chiardiluna;solesoridente@gmail.com
BED & BREAKFAST;B&B ROSELLA;via Vespucci 5/c;SENIGALLIA;;;fede.brt@libero.it
ALBERGHI;HOTEL VILLA DEL MARE;via sardegna 4;SENIGALLIA;SENIGALLIA;www.villadelmare.it;hotel@villadelmare.it
ALLOGGI IN AFFITTO;MENCUCCI CARLO;Via Ugo Bassi  15/a;SENIGALLIA;SENIGALLIA;;carlo.mencucci@teletu.it
RESIDENZE TURISTICO ALBERGHIERE;RESIDENCE SENBHOTEL 1;viale Bonopera 32;SENIGALLIA;;www.senbhotel.it;info@senbhotel.it
RESIDENZE TURISTICO ALBERGHIERE;RESIDENCE SENBHOTEL 2;via Bonopera 32;SENIGALLIA;;www.senbhotel.it;info@senbhotel.it
BED & BREAKFAST;B&B VISTA MARE;VIA VILLANOVA 2/B;SENIGALLIA;MONTIGNANO;;sylvanacatalani@gmail.com
BED & BREAKFAST;B&B SOTTO LE LOGGE;via Portici Ercolani 53;SENIGALLIA;;;kimmiky@tiscali.it
ALLOGGI IN AFFITTO;LANTERNA BLU;s.s. Adriatica 132;SENIGALLIA;;www.affittacamerelanternablu.it;marco.quattrini@alice.it
BED & BREAKFAST;B&B CORRADO RAFFAELE;VIA F.LLI BANDIERA 28;SENIGALLIA;;;consorzio.costruttori@legalmail.it
ALLOGGI AGRITURISTICI;IL GALLO SENONE RESORT;strada del Crocifisso 171;SENIGALLIA;;www.ilgallosenone.it;info@ilgallosenone.it
TURISMO RURALE;BEATRICE;via San Gaudenzio 1;SENIGALLIA;;;lanuovabraceria@libero.it
BED & BREAKFAST;B&B LA CASA DEL VIAGGIATORE;via Quintino Sella 19;SENIGALLIA;;www.casadelviaggiatoresenigallia.it;info@casadelviaggiatoresenigallia.it
ALLOGGI IN AFFITTO;VILLA SABRA;via Puglie 4;SENIGALLIA;;;sabrahotel@yahoo.com
ALTRI ALLOGGI PRIVATI;MAGI MARIA APP.TO VIA ARIOSTO;Via Ariosto 2;SENIGALLIA;SENIGALLIA;;livi55@libero.it
ALTRI ALLOGGI PRIVATI;MAGI MARIA APP.TO VIA FOGAZZARO;Via Fogazzaro 3;SENIGALLIA;SENIGALLIA;;livi55@libero.it
ALTRI ALLOGGI PRIVATI;PIANELLI SUSI MARIA;Via R. Sanzio  223;SENIGALLIA;SENIGALLIA;;susy.pianelli@libero.it
ALTRI ALLOGGI PRIVATI;MAZZARINI DANILO;Via Raffaello Sanzio 203/2E;SENIGALLIA;SENIGALLIA;;danilomazzarini@alice.it
BED & BREAKFAST;LULICANDA;Via Scornabecco 82;SENIGALLIA;SCAPEZZANO;;lulicanda@gmail.com
ALTRI ALLOGGI PRIVATI;MORI GIANCARLO APP.TO MAMELI 113;Lungomare Mameli 113;SENIGALLIA;SENIGALLIA;;carlobelli2013@gmail.com
ALTRI ALLOGGI PRIVATI;MORI GIANCARLO APP.TO MAMELI 112 (1);Lungomare Mameli 112;SENIGALLIA;SENIGALLIA;;carlobelli2013@gmail.com
ALTRI ALLOGGI PRIVATI;MORI GIANCARLO APP.TO MAMELI 112 (2);Lungomare Mameli 112;SENIGALLIA;SENIGALLIA;;carlobelli2013@gmail.com
ALTRI ALLOGGI PRIVATI;CASAGRANDE ALBANO CARLA;Lungomare Mameli 251/A;SENIGALLIA;SENIGALLIA;;affittiestivi@belenchia.com
ALTRI ALLOGGI PRIVATI;CONSOLI ANNA RITA;Lungomare Mameli 265;SENIGALLIA;SENIGALLIA;;info@dimoraimmobiliare.it
ALTRI ALLOGGI PRIVATI;ALFONSI STEFANIA;Via Ariosto 5;SENIGALLIA;SENIGALLIA;;fiorettileonardo@libero.it
ALTRI ALLOGGI PRIVATI;MAURO MANCINI;Via B. Buozzi 10;SENIGALLIA;SENIGALLIA;;mauro_mancini@hotmail.it
ALTRI ALLOGGI PRIVATI;CONTARDI GIOVANNI;Via Istria 4;SENIGALLIA;SENIGALLIA;;g.contardi@pcprocessingcenter.191.it
ALTRI ALLOGGI PRIVATI;SPADINI ALICE APP.TO PIANO SECONDO;Lungomare Italia 80;SENIGALLIA;SENIGALLIA;;83alicespadini@libero.it
ALTRI ALLOGGI PRIVATI;SPADINI ALICE APP.TO PIANO TERRA;Lungomare Italia 78;SENIGALLIA;SENIGALLIA;;83alicespadini@libero.it
ALTRI ALLOGGI PRIVATI;BARTOLINI EGIDIO;Strada della Marina-Scapezzano 266/C;SENIGALLIA;SENIGALLIA;;bartolini.egidio@gmail.com
ALTRI ALLOGGI PRIVATI;PIERGENTILI EMANUELA;Via Podesti 133;SENIGALLIA;SENIGALLIA;;emanuela.piergentili@interno.it
ALTRI ALLOGGI PRIVATI;BALDUCCI CRISTINA;Via Renato Ciucci 13;SENIGALLIA;SENIGALLIA;;cristina.balducci@hotmail.it
ALTRI ALLOGGI PRIVATI;BIGELLI GIANCARLO;Via Mameli 1;SENIGALLIA;SENIGALLIA;;bigelli.giancarlo@pec.it
ALTRI ALLOGGI PRIVATI;ANDRIANI ANNA;Via Istria 1;SENIGALLIA;SENIGALLIA;;affittiestivi@belenchia.com
ALTRI ALLOGGI PRIVATI;BACCHIOCCHI CARLO;Via S. Giovanni  5;SENIGALLIA;SENIGALLIA;;annamaria.bocconi@gmail.it
ALTRI ALLOGGI PRIVATI;SIMONETTI LUCIANA;Via Spontini 48;SENIGALLIA;Via Spontini, 48;;affittiestivi@belenchia.com
ALTRI ALLOGGI PRIVATI;ERRICO VINCENZO;Via Sardegna 1;SENIGALLIA;SENIGALLIA;;titti@cedsbarbati.it
ALTRI ALLOGGI PRIVATI;SANTOLINI STEFANIA;Via Zara 6;SENIGALLIA;SENIGALLIA;;affittiestivi@belenchia.com
ALTRI ALLOGGI PRIVATI;PORFIDO LUIGI;Lungomare Mameli  265;SENIGALLIA;SENIGALLIA;;affittiestivi@belenchia.com
ALTRI ALLOGGI PRIVATI;BILEI MARIA TERESA;Lungomare Alighieri 28;SENIGALLIA;SENIGALLIA;;affittiestivi@belenchia.com
ALTRI ALLOGGI PRIVATI;BURATTINI NAZZARENO;Lungomare Mameli 93;SENIGALLIA;SENIGALLIA;;affittiestivi@belenchia.com
ALTRI ALLOGGI PRIVATI;MATTOLI MARIA;Via Puglie  7;SENIGALLIA;SENIGALLIA;;affittiestivi@belenchia.com
ALTRI ALLOGGI PRIVATI;BEVILACQUA ALESSANDRA;Viale Bonopera 34;SENIGALLIA;SENIGALLIA;;affittiestivi@belenchia.com
BED & BREAKFAST;LA VIOLA;Piazzale Cairoli 2;SENIGALLIA;SENIGALLIA;;bologninifabrizio@libero.it
ALTRI ALLOGGI PRIVATI;BALDINI GIOVANNI APP.TO PIANO PRIMO;Via Podesti 226;SENIGALLIA;SENIGALLIA;;affittiestivi@belenchia.com
ALTRI ALLOGGI PRIVATI;SIMONETTI LORELLA;Via delle Genziane 14;SENIGALLIA;SENIGALLIA;;affittestivi@belenchia.com
ALTRI ALLOGGI PRIVATI;GASPERINI DONATELLA;Via Puccini 4;SENIGALLIA;SENIGALLIA;;affittiestivi@belenchia.com
ALTRI ALLOGGI PRIVATI;PIERALISI GIANNA;Via Lungomare Alighieri  28;SENIGALLIA;SENIGALLIA;;affittiestivi@belenchia.com
ALTRI ALLOGGI PRIVATI;MARMUGI MAURO;Via Mameli 242/B;SENIGALLIA;SENIGALLIA;;info@dimoraimmobiliare.it
ALTRI ALLOGGI PRIVATI;RIPESI ROLANDO;Lungomare Italia 123;SENIGALLIA;MARZOCCA;;rolandoripesi@libero.it
ALTRI ALLOGGI PRIVATI;MANFREDI VIVIANA;Via Mondolfo 22;SENIGALLIA;SENIGALLIA;;
ALTRI ALLOGGI PRIVATI;RIPESI ANGELA;Lungomare Italia 123;SENIGALLIA;MARZOCCA;;angela@eos-web.it
ALTRI ALLOGGI PRIVATI;MAZZANTI GIANFRANCO;Via Bari  1/A;SENIGALLIA;SENIGALLIA;;affittiestivi@belenchia.com
ALTRI ALLOGGI PRIVATI;MECOCCI ANDREA;Via Terza Strada 47/A;SENIGALLIA;SENIGALLIA;;info@dimoraimmobiliare.it
BED & BREAKFAST;IL NIDO SUL TETTO DI MARCHETTI ANNA;Via R. Sanzio 353/A;SENIGALLIA;SENIGALLIA;;annamarchetti56@libero.it
ALTRI ALLOGGI PRIVATI;SIMONCELLI PAOLA;Via Feltrini 15;SENIGALLIA;SENIGALLIA;;vangelina@alice.it
ALTRI ALLOGGI PRIVATI;CASABIANCA PAOLA;Via Montegrappa 16;SENIGALLIA;SENIGALLIA;;paola.gasperini@confartigianatoimprese.net
ALTRI ALLOGGI PRIVATI;MAZZANTI ELENA APP.TO VIA BASILICATA;Via Rieti  50;SENIGALLIA;SENIGALLIA;;affittiestivi@belenchia.com
ALTRI ALLOGGI PRIVATI;CONTINI MIRCO;Via Basilicata 3/C;SENIGALLIA;SENIGALLIA;;affittiestivi@belenchia.com
ALTRI ALLOGGI PRIVATI;MAZZANTI ELENA APP.TO VIA RIETI;Via Rieti 50;SENIGALLIA;SENIGALLIA;;affittiestivi@belenchia.com
ALTRI ALLOGGI PRIVATI;QUADRINI LORENZA PAOLA;Via Bologna  2/B;SENIGALLIA;SENIGALLIA;;affittiestivi@belenchia.com
ALTRI ALLOGGI PRIVATI;BENELLI ANDREA;Via Tagliamento 7;SENIGALLIA;SENIGALLIA;;affitiestivi@belenchia.com
ALTRI ALLOGGI PRIVATI;MARCHEGIANI PAOLO;Lungomare Italia 30/A;SENIGALLIA;SENIGALLIA;;affittiestivi@belenchia.com
ALTRI ALLOGGI PRIVATI;SILVESTRINI LIVIANA APP.TO VIALE SORRENTO;Viale Sorrento 23/A;SENIGALLIA;MARZOCCA;;bbfontebella@libero.it
ALTRI ALLOGGI PRIVATI;SILVESTRINI LIVIANA APP.TO VIA DEGLI ULIVI;Via degli Ulivi 77;SENIGALLIA;SENIGALLIA;;bbfontebella@libero.it
ALTRI ALLOGGI PRIVATI;MARCANTONI ALBERTO;Lungomare Mameli 93;SENIGALLIA;SENIGALLIA;;affittiestivi@belenchia.com
ALTRI ALLOGGI PRIVATI;RICCARDI SANDRO;Via Raffaello Sanzio 186;SENIGALLIA;SENIGALLIA;;sandro.riccardi@alice.it
ALTRI ALLOGGI PRIVATI;TOMASSONI GIULIANA;Umberto Giordano 31;SENIGALLIA;SENIGALLIA;;senigallia@pec.confartigianato.it
ALTRI ALLOGGI PRIVATI;BALDINI GIOVANNI APP.TO PIANO TERRA;Podesti 226;SENIGALLIA;SENIGALLIA;;comeacasa@sicurezzapostale.it
ALTRI ALLOGGI PRIVATI;MORUZZI SARA (APP. N. 53);Via Pergolesi 53;SENIGALLIA;SENIGALLIA;;sguzzo60@gmail.com
ALTRI ALLOGGI PRIVATI;MORUZZI SARA (APP. N. 51);Via Pergolesi  51;SENIGALLIA;SENIGALLIA;;sguzzo60@gmail.com
ALTRI ALLOGGI PRIVATI;MORUZZI SARA (APP. N. 45);Via Pergolesi 45;SENIGALLIA;SENIGALLIA;;sguzzo60@gmail.com
BED & BREAKFAST;B&B LE GRAZIE;Strada comunale Grazie 14/C;SENIGALLIA;SENIGALLIA;;
ALTRI ALLOGGI PRIVATI;ZACCARO ROBERTO;Via R. Sanzio 10/1;SENIGALLIA;SENIGALLIA;;savino.zaccaro@ingpec.eu
ALTRI ALLOGGI PRIVATI;CAPPELLETTI ELSA;Lungomare Alighieri 14;SENIGALLIA;SENIGALLIA;;affittiestivi@belenchia.com
ALTRI ALLOGGI PRIVATI;SAGRATI ALBERTO APP.TO VIA PIERELLI;Via Pierelli 41;SENIGALLIA;SENIGALLIA;;affittiestivi@belenchia.com
ALTRI ALLOGGI PRIVATI;SCHIAROLI VALENTINA;Via Prima Strada  35;SENIGALLIA;CESANO;;orietta_59@libero.it
ALTRI ALLOGGI PRIVATI;FOSCI ANTONIO;Viale dei gerani 11;SENIGALLIA;SENIGALLIA;;affittiestivi@belenchia.com
ALTRI ALLOGGI PRIVATI;SAGRATI ENZA;Lungomare Mameli 93;SENIGALLIA;SENIGALLIA;;affittiestivi@senigallia.it
ALTRI ALLOGGI PRIVATI;CIARROCCHI ANNA RITA;Piazza Cameranesi 2;SENIGALLIA;SENIGALLIA;;annaritaciarrocchi@yahoo.it
ALTRI ALLOGGI PRIVATI;PRINCIPI LEONARDO;Via Gramsci 29;SENIGALLIA;SENIGALLIA;;affittiestivi@belenchia.com
ALTRI ALLOGGI PRIVATI;MICCI LAMBERTO;Via Strada terza 34/C;SENIGALLIA;SENIGALLIA;;lamberto_micci@libero.it
ALTRI ALLOGGI PRIVATI;GRAMACCIONI GIANFRANCO;Via Mercantini 15;SENIGALLIA;SENIGALLIA;;affittiestivi@belenchia.com
ALTRI ALLOGGI PRIVATI;GALLI GIANCARLO;Piazza Giordano Bruno 14;SENIGALLIA;SENIGALLIA;;unotredigalli@gmail.com
ALTRI ALLOGGI PRIVATI;PANCOTTI LUCA;Via Solferino 14;SENIGALLIA;SENIGALLIA;;avv.lucapancotti@trianieassociati.it
ALTRI ALLOGGI PRIVATI;ZACCARO SAVINO 125/B;Via R. Sanzio 125/B;SENIGALLIA;SENIGALLIA;;ing.savinozaccaro@gmail.com
ALTRI ALLOGGI PRIVATI;ZACCARO SAVINO 125/C;Via R. Sanzio 125/C;SENIGALLIA;SENIGALLIA;;ing.savinozaccaro@gmail.com
ALTRI ALLOGGI PRIVATI;PIAZZOLLA ADRIANA;Via Vivaldi 4;SENIGALLIA;SENIGALLIA;;affittiestivi@belenchia.com
ALTRI ALLOGGI PRIVATI;MAIOLATESI GIAMPAOLO;Via Pierelli 33;SENIGALLIA;SENIGALLIA;;affittiestivi@belenchia.com
ALTRI ALLOGGI PRIVATI;MORGANTI VALTER;Lungomare Mameli 9;SENIGALLIA;SENIGALLIA;;valter.morganti@tin.it
ALTRI ALLOGGI PRIVATI;MORONI GIANCARLO;Via Fratti-Scapezzano 30;SENIGALLIA;SENIGALLIA;;moroni.tataio@libero.it
ALTRI ALLOGGI PRIVATI;GORI LAURA;Lungomare Mameli 240;SENIGALLIA;SENIGALLIA;;affittiestivi@belenchia.com
ALTRI ALLOGGI PRIVATI;SIMONCIONI ROSSANA APP.TO 27;Via Gioberti 27;SENIGALLIA;SENIGALLIA;;maxcecchini@libero.it
ALTRI ALLOGGI PRIVATI;SIMONCIONI ROSSANA APP.TO 25;Via Gioberti 25;SENIGALLIA;SENIGALLIA;;maxcecchini@libero.it
ALTRI ALLOGGI PRIVATI;MANIZZA MARCO;Via Trieste 16;SENIGALLIA;SENIGALLIA;;affittiestivi@belenchia.com
ALTRI ALLOGGI PRIVATI;SANTINI PAOLO;Via Mameli 229/A;SENIGALLIA;SENIGALLIA;;paolo.santini@cisl.it
